sponsor,tier,year,conference,is_bigtech,canonical_name
netflix,silver,2022,icml,False,NA
point72 / cubist systematic strategies,silver,2022,icml,False,NA
"quantumblack, ai by mckinsey",silver,2022,icml,False,NA
squarepoint capital,silver,2022,icml,False,NA
two sigma,silver,2022,icml,False,NA
xyla,silver,2022,icml,False,NA
yokogawa electric corporation,silver,2022,icml,False,NA
boltzbit limited,bronze,2022,icml,False,NA
"edgestream partners, l.p.",bronze,2022,icml,False,NA
intel corp,bronze,2022,icml,True,intel
mohamed bin zayed university of artificial intelligence,bronze,2022,icml,False,NA
qualcomm,bronze,2022,icml,False,NA
roblox,bronze,2022,icml,False,NA
sea limited,bronze,2022,icml,False,NA
the d. e. shaw group,bronze,2022,icml,False,NA
cambridge university press,book,2022,icml,False,NA
"intelligent computing, a science partner journal",book,2022,icml,False,NA
mit press,book,2022,icml,False,NA
now publishers,book,2022,icml,False,NA
springer,book,2022,icml,False,NA
deepmind dei,champion,2022,iclr,True,alphabet
google research dei,champion,2022,iclr,True,alphabet
citadel | citadel securities,groundbreaker,2022,iclr,False,NA
two sigma dei,leader,2022,iclr,False,NA
bytedance,platinum,2022,iclr,True,bytedance
deepmind,platinum,2022,iclr,True,alphabet
google research,platinum,2022,iclr,True,alphabet
meta ai,platinum,2022,iclr,True,meta
microsoft,platinum,2022,iclr,True,microsoft
qualcomm,platinum,2022,iclr,False,NA
sea ai lab,platinum,2022,iclr,False,NA
